date,severe_cases
2022-01-18,2
2022-01-19,1
2022-01-20,1
2022-01-21,1
2022-01-22,1
2022-01-23,1
2022-01-24,1
2022-01-25,2
2022-01-26,3
2022-01-27,3
2022-01-28,4
2022-01-29,4
2022-01-30,6
2022-01-31,6
2022-02-01,6
2022-02-02,10
2022-02-03,11
2022-02-04,11
2022-02-05,10
2022-02-06,11
2022-02-07,11
2022-02-08,11
2022-02-09,15
2022-02-10,14
2022-02-11,16
2022-02-12,15
2022-02-13,18
2022-02-14,18
2022-02-15,17
2022-02-16,20
2022-02-17,19
2022-02-18,19
2022-02-19,16
2022-02-20,17
2022-02-21,16
2022-02-22,16
2022-02-23,19
2022-02-24,19
2022-02-25,20
2022-02-26,18
2022-02-27,16
2022-02-28,19
2022-03-01,19
2022-03-02,19
2022-03-03,19
2022-03-04,16
2022-03-05,17
2022-03-06,17
2022-03-07,19
2022-03-08,19
2022-03-09,18
2022-03-10,15
2022-03-11,13
2022-03-12,13
2022-03-13,12
2022-03-14,11
2022-03-15,12
2022-03-16,10
2022-03-17,10
2022-03-18,12
2022-03-19,13
2022-03-20,12
2022-03-21,12
2022-03-22,12
2022-03-23,11
2022-03-24,11
2022-03-25,9
2022-03-26,10
2022-03-27,8
2022-03-28,8
2022-03-29,9
2022-03-30,10
2022-03-31,10
2022-04-01,9
2022-04-02,9
2022-04-03,9
2022-04-04,9
2022-04-05,10
2022-04-06,10
2022-04-07,10
2022-04-08,10
2022-04-09,9
2022-04-10,9
2022-04-11,10
2022-04-12,9
2022-04-13,9
2022-04-14,10
2022-04-15,10
2022-04-16,12
2022-04-17,12
2022-04-18,12
2022-04-19,14
2022-04-20,15
2022-04-21,13
2022-04-22,13
2022-04-23,13
2022-04-24,9
2022-04-25,10
2022-04-26,9
2022-04-27,8
2022-04-28,8
2022-04-29,8
2022-04-30,9
2022-05-01,9
2022-05-02,9
2022-05-03,8
2022-05-04,7
2022-05-05,7
2022-05-06,7
2022-05-07,6
2022-05-08,6
2022-05-09,5
2022-05-10,5
2022-05-11,5
2022-05-12,6
2022-05-13,6
2022-05-14,6
2022-05-15,5
2022-05-16,4
2022-05-17,4
2022-05-18,5
2022-05-19,5
