date,city,value
2022-07-25,北九州市消防局,71
2022-08-01,北九州市消防局,58
2022-08-08,北九州市消防局,68
2022-08-15,北九州市消防局,73
2022-08-22,北九州市消防局,41
2022-08-29,北九州市消防局,41
2022-09-05,北九州市消防局,25
2022-09-12,北九州市消防局,16
2022-09-19,北九州市消防局,8
2022-09-26,北九州市消防局,8
2022-10-03,北九州市消防局,8
2022-10-10,北九州市消防局,7
2022-10-17,北九州市消防局,12
2022-10-24,北九州市消防局,4
