age,count,date,deceased,gender,medical_worker,prefecture,status
-64,158,2021-05-28,FALSE,U,FALSE,40,1
65-,122,2021-05-28,FALSE,U,FALSE,40,1
UNK,1493,2021-05-28,TRUE,U,FALSE,40,1
UNK,206,2021-05-28,TRUE,U,FALSE,40,2
-64,1289,2021-05-29,FALSE,F,FALSE,40,1
-64,641,2021-05-29,FALSE,F,FALSE,40,2
65-,11124,2021-05-29,FALSE,F,FALSE,40,1
65-,1560,2021-05-29,FALSE,F,FALSE,40,2
-64,423,2021-05-29,FALSE,M,FALSE,40,1
-64,204,2021-05-29,FALSE,M,FALSE,40,2
65-,7458,2021-05-29,FALSE,M,FALSE,40,1
65-,1073,2021-05-29,FALSE,M,FALSE,40,2
-64,153,2021-05-29,FALSE,U,FALSE,40,1
65-,38,2021-05-29,FALSE,U,FALSE,40,1
UNK,1198,2021-05-29,TRUE,U,FALSE,40,1
UNK,236,2021-05-29,TRUE,U,FALSE,40,2
-64,533,2021-05-30,FALSE,F,FALSE,40,1
-64,44,2021-05-30,FALSE,F,FALSE,40,2
65-,13782,2021-05-30,FALSE,F,FALSE,40,1
65-,1395,2021-05-30,FALSE,F,FALSE,40,2
-64,207,2021-05-30,FALSE,M,FALSE,40,1
-64,14,2021-05-30,FALSE,M,FALSE,40,2
65-,9741,2021-05-30,FALSE,M,FALSE,40,1
65-,1092,2021-05-30,FALSE,M,FALSE,40,2
-64,105,2021-05-30,FALSE,U,FALSE,40,1
65-,27,2021-05-30,FALSE,U,FALSE,40,1
UNK,1366,2021-05-30,TRUE,U,FALSE,40,1
UNK,156,2021-05-30,TRUE,U,FALSE,40,2
-64,1091,2021-05-31,FALSE,F,FALSE,40,1
-64,1198,2021-05-31,FALSE,F,FALSE,40,2
65-,9959,2021-05-31,FALSE,F,FALSE,40,1
65-,1002,2021-05-31,FALSE,F,FALSE,40,2
-64,435,2021-05-31,FALSE,M,FALSE,40,1
-64,507,2021-05-31,FALSE,M,FALSE,40,2
65-,6589,2021-05-31,FALSE,M,FALSE,40,1
65-,615,2021-05-31,FALSE,M,FALSE,40,2
-64,112,2021-05-31,FALSE,U,FALSE,40,1
65-,147,2021-05-31,FALSE,U,FALSE,40,1
UNK,1176,2021-05-31,TRUE,U,FALSE,40,1
UNK,297,2021-05-31,TRUE,U,FALSE,40,2
-64,1022,2021-06-01,FALSE,F,FALSE,40,1
-64,1799,2021-06-01,FALSE,F,FALSE,40,2
65-,12579,2021-06-01,FALSE,F,FALSE,40,1
65-,1359,2021-06-01,FALSE,F,FALSE,40,2
